"","repo","user","nationality","coordinates","x","y"
317,"KDE/marble","bhush9","India","(20.593684, 78.96288)",78.96288,20.593684
318,"KDE/marble","AnderPijoan","Bilbao","(43.2630126, -2.9349852)",-2.9349852,43.2630126
319,"KDE/marble","cytadela8","Poland","(51.919438, 19.145136)",19.145136,51.919438
322,"KDE/marble","danielmarth","Austria","(47.516231, 14.550072)",14.550072,47.516231
323,"KDE/marble","Rakete1111","Karlsruhe, Germany","(49.0068901, 8.4036527)",8.4036527,49.0068901
324,"KDE/marble","nicolas17","Buenos Aires, Argentina","(-34.6036844, -58.3815591)",-58.3815591,-34.6036844
325,"KDE/marble","mghansen256","Monheim am Rhein, Germany","(51.0891756, 6.8945753)",6.894575300000001,51.0891756
327,"KDE/marble","CezarMocan","San Francisco, CA","(37.7749295, -122.4194155)",-122.4194155,37.7749295
328,"KDE/marble","NicoK","Berlin","(52.5200066, 13.404954)",13.404954,52.52000659999999
330,"KDE/marble","darkstar","Reutlingen, Germany","(48.5069389, 9.2038043)",9.2038043,48.50693889999999
331,"KDE/marble","stikonas","Edinburgh, UK","(55.953252, -3.188267)",-3.188267,55.953252
332,"KDE/marble","benkaiser","Redmond, WA, USA","(47.6739881, -122.121512)",-122.121512,47.6739881
333,"KDE/marble","bettio","Padova, Italy","(45.4064349, 11.8767611)",11.8767611,45.4064349
336,"KDE/marble","JIghtuse","Novosibirsk","(55.0083526, 82.9357327)",82.9357327,55.00835259999999
338,"KDE/marble","wiedi","Berlin","(52.5200066, 13.404954)",13.404954,52.52000659999999
341,"KDE/marble","uwolfer","Zurich, Switzerland","(47.3768866, 8.541694)",8.541694,47.3768866
342,"KDE/marble","dcambie","The Netherlands","(52.132633, 5.291266)",5.291265999999999,52.132633
344,"KDE/marble","koldavid","Debrecen, Hungary","(47.5316049, 21.6273124)",21.6273124,47.5316049
345,"KDE/marble","milliams","UK","(55.378051, -3.435973)",-3.435973,55.378051
346,"KDE/marble","shivshnkr","Bangalore","(12.9715987, 77.5945627)",77.5945627,12.9715987
347,"KDE/marble","jriddell","Edinburgh, Scotland","(55.953252, -3.188267)",-3.188267,55.953252
349,"KDE/marble","ana","Lyon, France","(45.764043, 4.835659)",4.835659,45.764043
350,"KDE/marble","mansona","Wicklow, Ireland","(52.9808207, -6.044589)",-6.044588999999999,52.9808207
351,"KDE/marble","cordlandwehr","Paderborn, Germany","(51.7189205, 8.7575093)",8.757509299999999,51.7189205
357,"KDE/marble","mnafees","Waterloo, ON","(43.4642578, -80.5204096)",-80.5204096,43.4642578
362,"KDE/marble","smarter","Lausanne, Switzerland","(46.5196535, 6.6322734)",6.6322734,46.5196535
364,"KDE/marble","coolo","Germany","(51.165691, 10.451526)",10.451526,51.165691
368,"KDE/marble","gladhorn","Norway","(60.472024, 8.468946)",8.468945999999999,60.47202399999999
369,"KDE/marble","sutirthaghosh","India","(20.593684, 78.96288)",78.96288,20.593684
372,"KDE/marble","rakuco","Amsterdam, Netherlands","(52.3702157, 4.8951679)",4.895167900000001,52.3702157
373,"KDE/marble","winterz","North Carolina, USA","(35.7595731, -79.0192997)",-79.01929969999999,35.7595731
374,"KDE/marble","stassats","Earth","(34.2331373, -102.4107493)",-102.4107493,34.2331373
379,"KDE/marble","robertknight","London, United Kingdom","(51.5073509, -0.1277583)",-0.1277583,51.5073509
381,"KDE/marble","EgorMatirov","Izhevsk","(56.8618601, 53.2324284)",53.2324284,56.86186009999999
384,"KDE/marble","timlinux","SA","(23.885942, 45.079162)",45.079162,23.885942
385,"OSGeo/gdal","ccondit","United States","(37.09024, -95.712891)",-95.712891,37.09024
388,"OSGeo/gdal","dreamil","Bangalore","(12.9715987, 77.5945627)",77.5945627,12.9715987
389,"OSGeo/gdal","ajolma","Helsinki","(60.1698557, 24.9383791)",24.9383791,60.16985569999999
391,"OSGeo/gdal","pka","Zürich, Switzerland","(47.3768866, 8.541694)",8.541694,47.3768866
392,"OSGeo/gdal","schwehr","San Francisco Bay Area","(37.8271784, -122.2913078)",-122.2913078,37.8271784
394,"OSGeo/gdal","rcoup","Edinburgh, Scotland","(55.953252, -3.188267)",-3.188267,55.953252
398,"OSGeo/gdal","jgallagher59701","Butte, MT","(46.0038232, -112.5347775)",-112.5347775,46.0038232
400,"OSGeo/gdal","ksshannon","Boise, ID","(43.6187102, -116.2146068)",-116.2146068,43.6187102
401,"OSGeo/gdal","jef-n","Northern Germany","(50.91214, 6.96777)",6.96777,50.91214
402,"OSGeo/gdal","vmora","Biviers","(45.2414944, 5.8023806)",5.802380599999999,45.2414944
404,"OSGeo/gdal","hobu","Iowa City, IA","(41.6611277, -91.5301683)",-91.5301683,41.6611277
405,"OSGeo/gdal","etiennesky","Barcelona","(41.3850639, 2.1734035)",2.1734035,41.3850639
407,"OSGeo/gdal","atlight","Melbourne","(-37.8136276, 144.9630576)",144.9630576,-37.8136276
408,"OSGeo/gdal","dmorissette","Chicoutimi, QC, Canada","(48.3516735, -71.1385136)",-71.1385136,48.3516735
409,"OSGeo/gdal","rouault","France","(46.227638, 2.213749)",2.213749,46.227638
411,"OSGeo/gdal","embeepea","NYC","(40.7127753, -74.0059728)",-74.0059728,40.7127753
413,"OSGeo/gdal","klokan","Switzerland","(46.818188, 8.227512)",8.227511999999999,46.818188
414,"OSGeo/gdal","warmerdam","San Francisco","(37.7749295, -122.4194155)",-122.4194155,37.7749295
415,"OSGeo/gdal","pramsey","Victoria, BC, Canada","(48.4284207, -123.3656444)",-123.3656444,48.4284207
416,"OSGeo/gdal","dwadler","Woodstock, NY USA","(42.0409247, -74.1181971)",-74.1181971,42.0409247
417,"OSGeo/gdal","avalentino","Matera (MT), Italy","(40.666379, 16.6043199)",16.6043199,40.666379
418,"OSGeo/gdal","cfis","Denver","(39.7392358, -104.990251)",-104.990251,39.7392358
419,"OSGeo/gdal","blazek","Prague","(50.0755381, 14.4378005)",14.4378005,50.0755381
420,"OSGeo/gdal","mloskot","Wrocław, PL | London, UK","(51.1041654, 16.8809331)",16.8809331,51.1041654
426,"OSGeo/geos","robe2","Boston","(42.3600825, -71.0588801)",-71.0588801,42.3600825
